ID,First Name,Last Name
0,"See","Credits"
1,"David","Hand"
2,"Perce","Pearce"
3,"William","Cottrell"
4,"Larry","Morey"
5,"Wilfred","Jackson"
6,"Ben","Sharpsteen"
7,"Hamilton","Luske"
8,"Bill","Roberts"
9,"Norman","Ferguson"
10,"Jack","Kinney"
11,"T.","Hee"
12,"Samuel","Armstrong"
13,"James","Algar"
14,"Norman","Wright"
15,"Paul","Satterfield"
16,"Graham","Heid"
17,"Clyde","Geronimi"
18,"Harold","Young"
19,"Joshua","Meador"
20,"Robert","Cormack"
21,"William","Morgan"
22,"Wolfgang","Reitherman"
23,"Les","Clark"
24,"Eric","Larson"
25,"Art","Stevens"
26,"Ted","Berman"
27,"Richard","Rich"
28,"John","Musker"
29,"Ron","Clements"
30,"David","Michener"
31,"Burny","Mattinson"
32,"George","Scribner"
33,"Hendel","Butoy"
34,"Mike","Gabriel"
35,"Gary","Trousdale"
36,"Kirk","Wise"
37,"Roger","Allers"
38,"Rob","Minkoff"
39,"Eric","Goldberg"
40,"Barry","Cook"
41,"Tony","Bancroft"
42,"Kevin","Lima"
43,"Chris","Buck"
44,"Paul","Brizzi"
45,"Gaëtan","Brizzi"
46,"Francis","Glebas"
47,"Pixote","Hunt"
48,"Ralph","Zondag"
49,"Eric","Leighton"
50,"Mark","Dindal"
51,"Stephen","Anderson"
52,"Aaron","Blaise"
53,"Robert","Walker"
54,"Will","Finn"
55,"John","Sanford"
56,"Byron","Howard"
57,"Nathan","Greno"
58,"Don","Hall"
59,"Rich","Moore"
60,"Jennifer","Lee"
61,"Chris","Williams"
62,"Jared","Bush"
63,"Carlos","López Estrada"
64,"Paul","Briggs"
65,"John","Ripa"
66,"Charise","Castro Smith"
67,"Qui","Nguyen"
68,"Fawn","Veerasunthorn"
69,"David","Derrick Jr."
70,"Jason","Hand"
71,"Dana Ledoux","Miller"
